2025-10-30T12:35:14-04:00
Running ./hitting_time_bench
Run on (24 X 5737 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x12)
  L1 Instruction 32 KiB (x12)
  L2 Unified 1024 KiB (x12)
  L3 Unified 32768 KiB (x2)
Load Average: 1.69, 1.58, 0.95
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Schelling/Lollipop/CS=50/PL=450/iterations:1000/threads:24",24000,0.0257166,0.0250001,ms,,39999.9,,,
"Schelling/Lollipop/CS=100/PL=900/iterations:1000/threads:24",24000,0.0489751,0.0485904,ms,,20580.2,,,
"Schelling/Lollipop/CS=150/PL=1350/iterations:1000/threads:24",24000,0.0751025,0.0719079,ms,,13906.7,,,
"Schelling/Lollipop/CS=200/PL=1800/iterations:1000/threads:24",24000,0.110165,0.109512,ms,,9131.44,,,
"Schelling/Lollipop/CS=250/PL=2250/iterations:1000/threads:24",24000,0.143616,0.142839,ms,,7000.91,,,
"Schelling/Lollipop/CS=300/PL=2700/iterations:1000/threads:24",24000,0.177388,0.172115,ms,,5810.06,,,
"Schelling/Lollipop/CS=350/PL=3150/iterations:1000/threads:24",24000,0.213041,0.20933,ms,,4777.15,,,
"Schelling/Lollipop/CS=400/PL=3600/iterations:1000/threads:24",24000,0.255772,0.252445,ms,,3961.25,,,
"Schelling/Lollipop/CS=450/PL=4050/iterations:1000/threads:24",24000,0.333215,0.332185,ms,,3010.37,,,
"Schelling/Lollipop/CS=500/PL=4500/iterations:1000/threads:24",24000,0.355622,0.353725,ms,,2827.06,,,
"Schelling/Lollipop/CS=550/PL=4950/iterations:1000/threads:24",24000,0.419644,0.41426,ms,,2413.94,,,
"Schelling/Lollipop/CS=600/PL=5400/iterations:1000/threads:24",24000,0.426788,0.421692,ms,,2371.4,,,
"Schelling/Lollipop/CS=650/PL=5850/iterations:1000/threads:24",24000,0.511679,0.508775,ms,,1965.51,,,
"Schelling/Lollipop/CS=700/PL=6300/iterations:1000/threads:24",24000,0.546925,0.538013,ms,,1858.69,,,
"Schelling/Lollipop/CS=750/PL=6750/iterations:1000/threads:24",24000,0.554609,0.552959,ms,,1808.45,,,
"Schelling/Lollipop/CS=800/PL=7200/iterations:1000/threads:24",24000,0.611781,0.609578,ms,,1640.48,,,
"Schelling/Lollipop/CS=850/PL=7650/iterations:1000/threads:24",24000,0.657059,0.651885,ms,,1534.01,,,
"Schelling/Lollipop/CS=900/PL=8100/iterations:1000/threads:24",24000,0.743809,0.741486,ms,,1348.64,,,
"Schelling/Lollipop/CS=950/PL=8550/iterations:1000/threads:24",24000,0.787747,0.78186,ms,,1279,,,
"Schelling/Lollipop/CS=1000/PL=9000/iterations:1000/threads:24",24000,0.839519,0.822265,ms,,1216.15,,,
"Schelling/Lollipop/CS=1050/PL=9450/iterations:1000/threads:24",24000,0.811363,0.805335,ms,,1241.72,,,
"Schelling/Lollipop/CS=1100/PL=9900/iterations:1000/threads:24",24000,0.93166,0.924297,ms,,1081.9,,,
"Schelling/Lollipop/CS=1150/PL=10350/iterations:1000/threads:24",24000,0.989183,0.983422,ms,,1016.86,,,
"Schelling/Lollipop/CS=1200/PL=10800/iterations:1000/threads:24",24000,1.03791,1.03046,ms,,970.443,,,
"Schelling/Lollipop/CS=1250/PL=11250/iterations:1000/threads:24",24000,1.12444,1.11951,ms,,893.252,,,
"Schelling/Lollipop/CS=1300/PL=11700/iterations:1000/threads:24",24000,1.15439,1.14559,ms,,872.91,,,
"Schelling/Lollipop/CS=1350/PL=12150/iterations:1000/threads:24",24000,1.11832,1.11443,ms,,897.32,,,
"Schelling/Lollipop/CS=1400/PL=12600/iterations:1000/threads:24",24000,1.24484,1.23915,ms,,807.005,,,
"Schelling/Lollipop/CS=1450/PL=13050/iterations:1000/threads:24",24000,1.34044,1.33232,ms,,750.572,,,
"Schelling/Lollipop/CS=1500/PL=13500/iterations:1000/threads:24",24000,1.2519,1.24466,ms,,803.433,,,
"Schelling/Lollipop/CS=1550/PL=13950/iterations:1000/threads:24",24000,1.45923,1.44056,ms,,694.176,,,
"Schelling/Lollipop/CS=1600/PL=14400/iterations:1000/threads:24",24000,1.52767,1.52005,ms,,657.872,,,
"Schelling/Lollipop/CS=1650/PL=14850/iterations:1000/threads:24",24000,1.42418,1.41475,ms,,706.838,,,
"Schelling/Lollipop/CS=1700/PL=15300/iterations:1000/threads:24",24000,1.615,1.61122,ms,,620.647,,,
"Schelling/Lollipop/CS=1750/PL=15750/iterations:1000/threads:24",24000,1.67654,1.67095,ms,,598.463,,,
