2025-10-30T12:37:49-04:00
Running ./hitting_time_bench
Run on (24 X 5737 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x12)
  L1 Instruction 32 KiB (x12)
  L2 Unified 1024 KiB (x12)
  L3 Unified 32768 KiB (x2)
Load Average: 4.52, 4.89, 2.46
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Schelling/Lollipop/CS=50/PL=450/iterations:1000/threads:24",24000,0.0243897,0.0238833,ms,,41870.2,,,
"Schelling/Lollipop/CS=100/PL=900/iterations:1000/threads:24",24000,0.046839,0.0463263,ms,,21586,,,
"Schelling/Lollipop/CS=150/PL=1350/iterations:1000/threads:24",24000,0.0733834,0.0710114,ms,,14082.3,,,
"Schelling/Lollipop/CS=200/PL=1800/iterations:1000/threads:24",24000,0.0983512,0.0923475,ms,,10828.7,,,
"Schelling/Lollipop/CS=250/PL=2250/iterations:1000/threads:24",24000,0.153178,0.148423,ms,,6737.51,,,
"Schelling/Lollipop/CS=300/PL=2700/iterations:1000/threads:24",24000,0.19718,0.193558,ms,,5166.41,,,
"Schelling/Lollipop/CS=350/PL=3150/iterations:1000/threads:24",24000,0.205469,0.201055,ms,,4973.76,,,
"Schelling/Lollipop/CS=400/PL=3600/iterations:1000/threads:24",24000,0.272148,0.268557,ms,,3723.6,,,
"Schelling/Lollipop/CS=450/PL=4050/iterations:1000/threads:24",24000,0.318238,0.313554,ms,,3189.24,,,
"Schelling/Lollipop/CS=500/PL=4500/iterations:1000/threads:24",24000,0.33348,0.329839,ms,,3031.78,,,
"Schelling/Lollipop/CS=550/PL=4950/iterations:1000/threads:24",24000,0.411891,0.408529,ms,,2447.81,,,
"Schelling/Lollipop/CS=600/PL=5400/iterations:1000/threads:24",24000,0.440317,0.438333,ms,,2281.37,,,
"Schelling/Lollipop/CS=650/PL=5850/iterations:1000/threads:24",24000,0.496831,0.490327,ms,,2039.46,,,
"Schelling/Lollipop/CS=700/PL=6300/iterations:1000/threads:24",24000,0.56158,0.559056,ms,,1788.73,,,
"Schelling/Lollipop/CS=750/PL=6750/iterations:1000/threads:24",24000,0.583495,0.578839,ms,,1727.6,,,
"Schelling/Lollipop/CS=800/PL=7200/iterations:1000/threads:24",24000,0.661321,0.657113,ms,,1521.81,,,
"Schelling/Lollipop/CS=850/PL=7650/iterations:1000/threads:24",24000,0.73882,0.735881,ms,,1358.91,,,
"Schelling/Lollipop/CS=900/PL=8100/iterations:1000/threads:24",24000,0.792019,0.773762,ms,,1292.39,,,
"Schelling/Lollipop/CS=950/PL=8550/iterations:1000/threads:24",24000,0.834465,0.820513,ms,,1218.75,,,
"Schelling/Lollipop/CS=1000/PL=9000/iterations:1000/threads:24",24000,0.874888,0.856949,ms,,1166.93,,,
"Schelling/Lollipop/CS=1050/PL=9450/iterations:1000/threads:24",24000,0.918107,0.911149,ms,,1097.52,,,
"Schelling/Lollipop/CS=1100/PL=9900/iterations:1000/threads:24",24000,0.946753,0.940255,ms,,1063.54,,,
"Schelling/Lollipop/CS=1150/PL=10350/iterations:1000/threads:24",24000,1.13209,1.12623,ms,,887.921,,,
"Schelling/Lollipop/CS=1200/PL=10800/iterations:1000/threads:24",24000,1.05886,1.05266,ms,,949.979,,,
"Schelling/Lollipop/CS=1250/PL=11250/iterations:1000/threads:24",24000,1.30357,1.29584,ms,,771.7,,,
"Schelling/Lollipop/CS=1300/PL=11700/iterations:1000/threads:24",24000,1.26094,1.24858,ms,,800.907,,,
"Schelling/Lollipop/CS=1350/PL=12150/iterations:1000/threads:24",24000,1.4081,1.40247,ms,,713.027,,,
"Schelling/Lollipop/CS=1400/PL=12600/iterations:1000/threads:24",24000,1.41305,1.40909,ms,,709.676,,,
"Schelling/Lollipop/CS=1450/PL=13050/iterations:1000/threads:24",24000,1.59233,1.58287,ms,,631.764,,,
"Schelling/Lollipop/CS=1500/PL=13500/iterations:1000/threads:24",24000,1.58521,1.5717,ms,,636.253,,,
"Schelling/Lollipop/CS=1550/PL=13950/iterations:1000/threads:24",24000,1.74781,1.73121,ms,,577.632,,,
"Schelling/Lollipop/CS=1600/PL=14400/iterations:1000/threads:24",24000,1.66493,1.63637,ms,,611.108,,,
"Schelling/Lollipop/CS=1650/PL=14850/iterations:1000/threads:24",24000,1.8172,1.81004,ms,,552.475,,,
"Schelling/Lollipop/CS=1700/PL=15300/iterations:1000/threads:24",24000,1.91795,1.90709,ms,,524.359,,,
"Schelling/Lollipop/CS=1750/PL=15750/iterations:1000/threads:24",24000,1.86373,1.85337,ms,,539.557,,,
"Schelling/Lollipop/CS=1800/PL=16200/iterations:1000/threads:24",24000,2.04429,2.03822,ms,,490.625,,,
"Schelling/Lollipop/CS=1850/PL=16650/iterations:1000/threads:24",24000,2.03638,2.02945,ms,,492.743,,,
"Schelling/Lollipop/CS=1900/PL=17100/iterations:1000/threads:24",24000,2.12378,2.11531,ms,,472.744,,,
"Schelling/Lollipop/CS=1950/PL=17550/iterations:1000/threads:24",24000,2.20539,2.19395,ms,,455.8,,,
"Schelling/Lollipop/CS=2000/PL=18000/iterations:1000/threads:24",24000,2.38221,2.37474,ms,,421.098,,,
"Schelling/Lollipop/CS=2050/PL=18450/iterations:1000/threads:24",24000,2.48279,2.47107,ms,,404.683,,,
"Schelling/Lollipop/CS=2100/PL=18900/iterations:1000/threads:24",24000,2.4913,2.48186,ms,,402.923,,,
"Schelling/Lollipop/CS=2150/PL=19350/iterations:1000/threads:24",24000,2.65158,2.64096,ms,,378.651,,,
"Schelling/Lollipop/CS=2200/PL=19800/iterations:1000/threads:24",24000,2.88117,2.87471,ms,,347.862,,,
"Schelling/Lollipop/CS=2250/PL=20250/iterations:1000/threads:24",24000,3.15661,3.13716,ms,,318.76,,,
"Schelling/Lollipop/CS=2300/PL=20700/iterations:1000/threads:24",24000,3.00428,2.97054,ms,,336.64,,,
"Schelling/Lollipop/CS=2350/PL=21150/iterations:1000/threads:24",24000,3.00057,2.99142,ms,,334.289,,,
"Schelling/Lollipop/CS=2400/PL=21600/iterations:1000/threads:24",24000,3.0376,3.02807,ms,,330.243,,,
"Schelling/Lollipop/CS=2450/PL=22050/iterations:1000/threads:24",24000,3.55359,3.50802,ms,,285.061,,,
"Schelling/Lollipop/CS=2500/PL=22500/iterations:1000/threads:24",24000,3.09069,3.08207,ms,,324.457,,,
